Naif_id,Body,IAU2015_Mean,IAU2015_Semimajor,IAU2015_Axisb,IAU2015_Semiminor,rotation,origin_long_name,origin_lon_pos
10,Sun,695700000.00,695700000.00,695700000.00,695700000.00,Direct,,
199,Mercury,2439400.00,2440530.00,2440530.00,2438260.00,Direct,Hun Kal,20 W
299,Venus,6051800.00,6051800.00,6051800.00,6051800.00,Retrograde,Ariadne,0
399,Earth,6371008.40,6378136.60,6378136.60,6356751.90,Direct,Greenwich,0
301,Moon,1737400.00,1737400.00,1737400.00,1737400.00,Direct,,
499,Mars,3389500.00,3396190.00,3396190.00,3376200.00,Direct,Viking 1 lander,47.95137 W
401,Phobos,11080.00,13000.00,11400.00,9100.00,Direct,,
402,Deimos,6200.00,7800.00,6000.00,5100.00,Direct,,
599,Jupiter,69911000.00,71492000.00,71492000.00,66854000.00,Direct,,
501,Io,1821490.00,1829400.00,1819400.00,1815700.00,Direct,The mean sub-Jovian direction,0
502,Europa,1560800.00,1562600.00,1560300.00,1559500.00,Direct,Cilix,182 W
503,Ganymede,2631200.00,2631200.00,2631200.00,2631200.00,Direct,Anat,128 W
504,Callisto,2410300.00,2410300.00,2410300.00,2410300.00,Direct,Saga,326 W
505,Amalthea,83500.00,125000.00,73000.00,64000.00,Direct,,
506,Himalia,85000.00,85000.00,85000.00,85000.00,,,
507,Elara,40000.00,40000.00,40000.00,40000.00,,,
508,Pasiphae,18000.00,18000.00,18000.00,18000.00,,,
509,Sinope,14000.00,14000.00,14000.00,14000.00,,,
510,Lysithea,12000.00,12000.00,12000.00,12000.00,,,
511,Carme,15000.00,15000.00,15000.00,15000.00,,,
512,Ananke,10000.00,10000.00,10000.00,10000.00,,,
513,Leda,5000.00,5000.00,5000.00,5000.00,,,
514,Thebe,49300.00,58000.00,49000.00,42000.00,Direct,,
515,Adrastea,8200.00,10000.00,8000.00,7000.00,Direct,,
516,Metis,21500.00,30000.00,20000.00,17000.00,Direct,,
517,Callirrhoe,-1,-1,-1,-1,,,
518,Themisto,-1,-1,-1,-1,,,
519,Magaclite,-1,-1,-1,-1,,,
520,Taygete,-1,-1,-1,-1,,,
521,Chaldene,-1,-1,-1,-1,,,
522,Harpalyke,-1,-1,-1,-1,,,
523,Kalyke,-1,-1,-1,-1,,,
524,Iocaste,-1,-1,-1,-1,,,
525,Erinome,-1,-1,-1,-1,,,
526,Isonoe,-1,-1,-1,-1,,,
527,Praxidike,-1,-1,-1,-1,,,
528,Autonoe,-1,-1,-1,-1,,,
529,Thyone,-1,-1,-1,-1,,,
530,Hermippe,-1,-1,-1,-1,,,
531,Aitne,-1,-1,-1,-1,,,
532,Eurydome,-1,-1,-1,-1,,,
533,Euanthe,-1,-1,-1,-1,,,
534,Euporie,-1,-1,-1,-1,,,
535,Orthosie,-1,-1,-1,-1,,,
536,Sponde,-1,-1,-1,-1,,,
537,Kale,-1,-1,-1,-1,,,
538,Pasithee,-1,-1,-1,-1,,,
539,Hegemone,-1,-1,-1,-1,,,
540,Mneme,-1,-1,-1,-1,,,
541,Aoede,-1,-1,-1,-1,,,
542,Thelxinoe,-1,-1,-1,-1,,,
543,Arche,-1,-1,-1,-1,,,
544,Kallichore,-1,-1,-1,-1,,,
545,Helike,-1,-1,-1,-1,,,
546,Carpo,-1,-1,-1,-1,,,
547,Eukelade,-1,-1,-1,-1,,,
548,Cyllene,-1,-1,-1,-1,,,
549,Kore,-1,-1,-1,-1,,,
550,Herse,-1,-1,-1,-1,,,
699,Saturn,58232000.00,60268000.00,60268000.00,54364000.00,Direct,,
601,Mimas,198200.00,207800.00,196700.00,190600.00,Direct,Palomides,162 W
602,Enceladus,252100.00,256600.00,251400.00,248300.00,Direct,Salih,5 W
603,Tethys,531000.00,538400.00,528300.00,526300.00,Direct,Arete,299 W
604,Dione,561400.00,563400.00,561300.00,559600.00,Direct,Palinurus,63 W
605,Rhea,763500.00,765000.00,763100.00,762400.00,Direct,Tore,340 W
606,Titan,2575000.00,2575150.00,2574780.00,2574470.00,Direct,,
607,Hyperion,135000.00,180100.00,133000.00,102700.00,,,
608,Iapetus,734300.00,745700.00,745700.00,712100.00,Direct,Almeric,276 W
609,Phoebe,106500.00,109400.00,108500.00,101800.00,Direct,,
610,Janus,89200.00,101700.00,93000.00,76300.00,Direct,,
611,Epimetheus,58200.00,64900.00,57300.00,53000.00,Direct,,
612,Helene,18000.00,22500.00,19600.00,13300.00,Direct,,
613,Telesto,12400.00,16300.00,11800.00,9800.00,Direct,,
614,Calypso,9600.00,15300.00,9300.00,6300.00,Direct,,
615,Atlas,15100.00,20500.00,17800.00,9400.00,Direct,,
616,Prometheus,43100.00,68200.00,41600.00,28200.00,Direct,,
617,Pandora,40600.00,52200.00,40800.00,31500.00,Direct,,
618,Pan,14000.00,17200.00,15400.00,10400.00,Direct,,
619,Ymir,-1,-1,-1,-1,,,
620,Paaliaq,-1,-1,-1,-1,,,
621,Tarvos,-1,-1,-1,-1,,,
622,Ijiraq,-1,-1,-1,-1,,,
623,Suttungr,-1,-1,-1,-1,,,
624,Kiviuq,-1,-1,-1,-1,,,
625,Mundilfari,-1,-1,-1,-1,,,
626,Albiorix,-1,-1,-1,-1,,,
627,Skathi,-1,-1,-1,-1,,,
628,Erriapo,-1,-1,-1,-1,,,
629,Siarnaq,-1,-1,-1,-1,,,
630,Thrymr,-1,-1,-1,-1,,,
631,Narvi,-1,-1,-1,-1,,,
632,Methone,1450.00,1940.00,1290.00,1210.00,,,
633,Pallene,2230.00,2880.00,2080.00,1800.00,,,
634,Polydeuces,1300.00,1500.00,1200.00,1000.00,,,
635,Daphnis,3800.00,4600.00,4500.00,2800.00,,,
636,Aegir,-1,-1,-1,-1,,,
637,Bebhionn,-1,-1,-1,-1,,,
638,Bergelmir,-1,-1,-1,-1,,,
639,Bestla,-1,-1,-1,-1,,,
640,Farbauti,-1,-1,-1,-1,,,
641,Fenrir,-1,-1,-1,-1,,,
642,Fornjot,-1,-1,-1,-1,,,
643,Hati,-1,-1,-1,-1,,,
644,Hyrrokkin,-1,-1,-1,-1,,,
645,Kari,-1,-1,-1,-1,,,
646,Loge,-1,-1,-1,-1,,,
647,Skoll,-1,-1,-1,-1,,,
648,Sutur,-1,-1,-1,-1,,,
649,Anthe,500.00,500.00,500.00,500.00,,,
650,Jarnsaxa,-1,-1,-1,-1,,,
651,Greip,-1,-1,-1,-1,,,
652,Tarqeq,-1,-1,-1,-1,,,
653,Aegaeon,330.00,700.00,250.00,200.00,,,
799,Uranus,25362000.00,25559000.00,25559000.00,24973000.00,Retrograde,,
701,Ariel,578900.00,581100.00,577900.00,577700.00,Retrograde,,
702,Umbriel,584700.00,584700.00,584700.00,584700.00,Retrograde,,
703,Titania,788900.00,788900.00,788900.00,788900.00,Retrograde,,
704,Oberon,761400.00,761400.00,761400.00,761400.00,Retrograde,,
705,Miranda,235800.00,240400.00,234200.00,232900.00,Retrograde,,
706,Cordelia,13000.00,13000.00,13000.00,13000.00,Retrograde,,
707,Ophelia,15000.00,15000.00,15000.00,15000.00,Retrograde,,
708,Bianca,21000.00,21000.00,21000.00,21000.00,Retrograde,,
709,Cressida,31000.00,31000.00,31000.00,31000.00,Retrograde,,
710,Desdemona,27000.00,27000.00,27000.00,27000.00,Retrograde,,
711,Juliet,42000.00,42000.00,42000.00,42000.00,Retrograde,,
712,Portia,54000.00,54000.00,54000.00,54000.00,Retrograde,,
713,Rosalind,27000.00,27000.00,27000.00,27000.00,Retrograde,,
714,Belinda,33000.00,33000.00,33000.00,33000.00,Retrograde,,
715,Puck,77000.00,77000.00,77000.00,77000.00,Retrograde,,
716,Caliban,-1,-1,-1,-1,,,
717,Sycorax,-1,-1,-1,-1,,,
718,Prospero,-1,-1,-1,-1,,,
719,Setebos,-1,-1,-1,-1,,,
720,Stephano,-1,-1,-1,-1,,,
721,Trinculo,-1,-1,-1,-1,,,
722,Francisco,-1,-1,-1,-1,,,
723,Margaret,-1,-1,-1,-1,,,
724,Ferdinand,-1,-1,-1,-1,,,
725,Perdita,-1,-1,-1,-1,,,
726,Mab,-1,-1,-1,-1,,,
727,Cupid,-1,-1,-1,-1,,,
899,Neptune,24622000.00,24764000.00,24764000.00,24341000.00,Direct,,
801,Triton,1352600.00,1352600.00,1352600.00,1352600.00,Retrograde,,
802,Nereid,170000.00,170000.00,170000.00,170000.00,,,
803,Naiad,29000.00,29000.00,29000.00,29000.00,Direct,,
804,Thalassa,40000.00,40000.00,40000.00,40000.00,Direct,,
805,Despina,74000.00,74000.00,74000.00,74000.00,Direct,,
806,Galatea,79000.00,79000.00,79000.00,79000.00,Direct,,
807,Larissa,96000.00,96000.00,96000.00,89000.00,Direct,,
808,Proteus,208000.00,218000.00,208000.00,201000.00,Direct,,
809,Halimede,-1,-1,-1,-1,,,
810,Psamathe,-1,-1,-1,-1,,,
811,Sao,-1,-1,-1,-1,,,
812,Laomedeia,-1,-1,-1,-1,,,
813,Neso,-1,-1,-1,-1,,,
999,Pluto,1188300.00,1188300.00,1188300.00,1188300.00,Direct,Mean sub-Charon meridian,0
901,Charon,606000.00,606000.00,606000.00,606000.00,Direct,Mean sub-Pluto meridian,0
1000005,Borrelly,4220.00,3500.00,-1,-1,Direct,,
1000012,Churyumov-Gerasimenko,1650.00,2400.00,1550.00,1200.00,Direct,a large boulder called Cheops,0
1000036,Halley,-1.00,8000.00,4000.00,4000.00,,,
1000041,Hartley 2,580.00,340.00,1160.00,1160.00,,An isolated large mount on the waist near the large lobe,0
1000093,Tempel 1,3000.00,3700.00,2500.00,-1,Direct,A 350 m diameter unnamed circular feature near the Deep Impactor impact site,0
1000107,Wild 2,1975.00,2700.00,1900.00,1500.00,,,
9511010,Gaspra,6100.00,9100.00,5200.00,4400.00,Direct,Charax,0
2431010,Ida,15650.00,26800.00,12000.00,7600.00,Direct,Afon,0
2431011,Dactyl,-1,-1,-1,-1,,,
2000001,Ceres,470000.00,487300.00,487300.00,446000.00,Direct,Kait,0
2000002,Pallas,-1,-1,-1,-1,Direct,The direction (positive x) of the long axis of the Carry et al. (2010) shape model,0
2000004,Vesta,255000.00,289000.00,280000.00,229000.00,Direct,Claudia,146
2000016,Psyche,113000.00,139500.00,116000.0,94500.00,,,
2000021,Lutetia,52500.00,62000.00,50500.00,46500.00,Direct,Arbitrarily defined based on light curve information,0
2000052,52 Europa,157500.00,189500.00,165000.00,124500.00,Direct,long axis that pointed toward the Earth on 2007 May28 8.3125 UT (light-time corrected),0
2000216,Kleopatra,-1,108500.00,47000.00,40500.00,,,
2000433,Eros,8450.00,17000.00,5500.00,5500.00,Direct,unnamed crater,0
2000511,Davida,150000.00,180000.00,147000.00,127000.00,Direct,the long axis that points toward the Earth on 2002 December27 7.83 UT,0
2000253,Mathilde,26500.00,33000.00,24000.00,23000.00,,,
2002867,Steins,2700.00,3240.00,2730.00,2040.00,Direct,Topaz,0
2009969,1992KD,-1,-1,-1,-1,,,
2009969,Braille,-1,-1,-1,-1,,,
2004015,Wilson-Harrington,-1,-1,-1,-1,,,
2004179,Toutatis,-1,2130.00,1015.00,850.00,,,
2025143,Itokawa,-1,268.00,147.00,104.00,Direct,deﬁned with W0=0,0
